rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source,duplicate_flag,kijiji_url,kijiji_price,kijiji_seller_type
1,2022,Honda,Odyssey,Unknown,1,2500,No change noted,Unchanged for 2 weeks,2,2500,2500,0,0,1,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Carstairs, AB","Carstairs, AB",91,address,1738726502,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/oem-honda-odyssey-18-rims-michelin-winter-tires-set-of-4/1738726502,0.19141113665564463,Kijiji,No,,,
2,2022,Honda,Odyssey,Unknown,1,13000,No change noted,Unchanged for 1 weeks,1,13000,13000,0,0,75300,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738321767,https://www.kijiji.ca/v-cars-trucks/ville-de-quebec/honda-odyssey-ex-l-2022-transfert-de-bail-a-0-d-interet-13000/1738321767,0.34618097931164216,Kijiji,No,,,
3,2023,Honda,Odyssey,Unknown,1,6995,No change noted,First seen this week,0,6995,6995,0,0,21025,Unknown,Gas,Unknown,N/A,Unknown,Private,"Vernon Bc, BC","Vernon Bc, BC",699,address,1739848201,https://www.kijiji.ca/v-cars-trucks/richmond-bc/2015-honda-odyssey-ex-l-w-res-clean-title-bc-local/1739848201,0.36568994412476197,Kijiji,No,,,
4,2020,Honda,Odyssey,Unknown,1,19995,No change noted,Unchanged for 2 weeks,2,19995,19995,0,0,135000,Unknown,Gas,Salvage/rebuilt,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738694942,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2020-honda-odyssey-ex-model-one-owner-certified-warranty/1738694942,0.4560989768715187,Kijiji,No,,,
5,2018,Honda,Odyssey,Unknown,1,12900,No change noted,"Down $1,000 over 2 weeks",2,13900,12900,0,-1000,237000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738141287,https://www.kijiji.ca/v-cars-trucks/moncton/2018-honda-odyssey/1738141287,0.4607192189053946,Kijiji,No,,,
6,2019,Honda,Odyssey,Unknown,1,27900,No change noted,Unchanged for 2 weeks,2,27900,27900,0,0,37601,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1735888274,https://www.kijiji.ca/v-cars-trucks/windsor-area-on/2019-honda-odyssey/1735888274,0.46255542269967675,Kijiji,No,,,
7,2018,Honda,Odyssey,Unknown,1,13500,No change noted,Unchanged for 1 weeks,1,13500,13500,0,0,238000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1739132718,https://www.kijiji.ca/v-cars-trucks/truro/2018-honda-odyssey/1739132718,0.4672040670571659,Kijiji,No,,,
8,2018,Honda,Odyssey,Unknown,1,22800,No change noted,First seen this week,0,22800,22800,0,0,134000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1739775780,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2018-honda-odyssey-ex-res/1739775780,0.48236207055247804,Kijiji,No,,,
9,2018,Honda,Odyssey,Unknown,1,22998,No change noted,Down $490 over 2 weeks,2,23488,22998,0,-490,131903,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1737873763,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2018-honda-odyssey-ex-auto-reverse-camera-no-accident-sunroof-re/1737873763,0.4827684990139911,Kijiji,No,,,
10,2018,Honda,Odyssey,Unknown,1,14450,No change noted,"Down $1,000 over 2 weeks",2,15450,14950,-500,-1000,248159,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1737500289,https://www.kijiji.ca/v-cars-trucks/cambridge/2018-honda-odyssey-ex-l-navi-auto-safety-certified-apple-carplay/1737500289,0.48359721948794665,Kijiji,No,,,
